,titles,category
520,"GKL, 여성만 자녀돌봄 휴직… 인권위 “남성 차별”",Social
521,성과급 잘못 줬다가는 부당노동행위로 형사처벌,Social
522,가짜환자로 새는 건보재정 年96억…기획조사로 잡아낸다,Social
523,"동물단체 ""비둘기 굶겨 죽이는 정책""…서울시 단속 강화 반발",Social
524,작년 마약 감정 14만여건 ‘역대 최다’···압수품 절반은 ‘필로폰’,Social
525,"""부정선거 사형"" 험악한 잠실 투표소…선관위 설득에도 반출 무산",Social
526,여대야소로 재편된 옥천군의회…민주당 황규철 군수 '반색',Social
527,"[인터뷰] 오세훈 ""방향전환 안 하면 참혹한 부동산 참사로 이어질 것""",Social
528,"조지훈 당선인 ""전주 발전에 시민의 절실함 확인했다""",Social
529,서울·경기 진보 교육감 당선… 교육감도 진보 우위,Social
530,주 4.5일제에 여성 노동은 없다,Social
531,"용인·안산 첫 연임 재선 시장, 안성·과천은 첫 3선 여성시장 탄생",Social
532,"민주당 경북도당, 제9회 지선서 역대 최고 성적…기초의원 등 63명 당선",Social
533,'광역의원 물갈이' 광주 65.2%·전남 55.7%…초선만 53명,Social
534,"윤준병 ""당내 통합 필요하지만 해당행위는 징계 불가피""",Social
535,"임지락 화순군수 당선…""밀실정치 않겠다"" 약속",Social
536,경남도지사 박완수 재선 성공…‘경남대도약’ 시동,Social
537,"[6·3 지선] 안민석, 경기교육감 당선…진보 계보 잇는다(종합)",Social
538,"“지방선거, 與 승리했지만… 공소취소 논란에 유권자 견제심리도 작동”",Social
539,국회의원에서 시의원으로…체급 낮춘 손혜원 당선,Social
540,‘44표차 진땀 승리’ 통영시장…‘77세 노장 투혼’ 하남시장,Social
541,"특검, '한덕수 재판 위증' 윤석열 1심 무죄에 불복해 항소",Social
542,"전북 뒤덮은 푸른바람…단체장, 재보궐 민주당 싹쓸이",Social
543,김상욱 당선…범진보 단일화로 울산시장 교체,Social
544,"""일은 팀장급, 월급은 인턴급?""…유병재 회사 채용 공고 논란",Social
545,"남해군수 선거, 131표 차 초접전…선관위 이의 제기에 재검표 결정",Social
546,"""노모 곁에서 콩고물 먹을려고""…독박 간병한 아들에게 험담한 5자매",Social
547,"오세훈 즉각 업무복귀 ""일할 기회 줘서 감사… 밀린 일 처리하겠다""(종합)",Social
548,"아들과 야구장 약속 앞두고…조영삼 씨, 4명 살리고 하늘로",Social
549,"다시 진보교육감 시대, 7명이 전교조 출신… 학교서 커지는 ‘이념·인권’ 목소리",Social
550,"‘사과하세요’ 우성빈, 보수 강세 기장서 첫 여성 군수로…“토호 정치 끊고 교통부터 풀겠다”",Social
551,"'李대통령 명예훼손' 모스탄 출국정지 유지…""수사상 필요""(종합)",Social
552,보수색 더 굳힌 대구…'변화'보다 '균형추' 선택했다,Social
553,“70 평생 처음 투표 못해” 투표용지 부족에 멍든 참정권,Social
554,"‘N수생 역대 최다’ 6월 모평… 국어, 작년 수능보다 쉬웠다",Social
555,"'통곡의 벽' 못 넘은 김부겸, 왜 졌나…민주당 실책, 박근혜 등판 결정타",Social
556,"합수본, 이만희 총회장 첫 조사… ‘신천지 국힘 집단 입당’ 등 추궁",Social
557,[단독]폭발위험 낮다더니… 한화에어로 사고현장엔 인화성 물질 수두룩,Social
558,건별 수수료 대신 최저임금? 배달기사들 ‘관심집중’,Social
559,"'5선 달성' 오세훈 ""상식의 승리…경험·역량 쏟아붓겠다""",Social
560,"吳 당선 확정에도, '잠실7동 투표소' 난장판…""재선거해야""",Social
561,30년 '보수 독점' 끊어낸 강릉…'보수 텃밭' 강원 동해안 민심도 '변화',Social
562,'李대통령 범죄 연루설' 모스 탄 출국정지 집행정지신청 기각,Social
563,“재직조건부 상여금도 통상임금” 서교공 퇴직자 퇴직금소송 승소”,Social
564,[2026 지선] 서울 25개 자치구 성적표⋯'민주 17·국힘 8곳',Social
565,"'5선 시장' 출근한 오세훈 ""삼성역 철근누락 가장 먼저 챙길 것""",Social
566,"‘8:17→17:8’ 서울 구청장은 파란물결… 국힘, 한강벨트만 겨우 지켰다",Social
567,‘124표 차’ 이동석 충주시장 대역전극... 전국 최연소 단체장 기록,Social
568,"우상호, 면적에선 졌다..“지지 안한 분도 포용”",Social
569,"‘수능 만점’ 변호사 박지원, 첫 금배지…‘대통령 입’ 김의겸도 재기",Social
570,'1억 공천헌금' 강선우 보석 청구...이번엔 인용될까,Social
571,공천 배제·경선 잡음 딛고 당선…경남 기초단체장 무소속 돌풍,Social
572,"오세훈 '장동혁 거리두기' 계속하나…""대권 위해 화합할 것"" [팩트앤뷰]",Social
573,민주당이 싹 쓴 대전…시장·구청장·의회 지방 권력 완전 교체,Social
574,"격변과 균형의 '경기민심'…'첫 여성 지사' 추미애 열고, '보수 결집' 신상진·이상일 지켰다",Social
575,초유의 투표용지 부족 사태에 소송 제기될까…법조계도 촉각,Social
576,31년 보수 독점 강릉ㆍ동해ㆍ화천 뒤집혀…민주당 18곳 중 11곳 석권,Social
577,"경남 거제·진주, ‘3선 시장’...거제 변광용, 진주 조규일 당선",Social
578,"범여권 아쉬운 성적에 김어준 ""출발점은 민주당-조국당 합당 실패""",Social
579,[2026 지선] ‘야당’ 이상일 용인특례시장 당선인 “여야 넘어 용인 발전 힘 모아야”,Social
580,“정원오 인수위 자료 준비했는데”…뒤바뀐 결과에 놀란 서울시 공무원들,Social
581,"반복된 폭발 참사 원인 밝힌다…노동부-경찰, 한화에어로 압수수색",Social
582,"전재수 당선인, 충렬사 참배…""오직 부산 위해 일하겠다“",Social
583,선관위 앞 수백 명 인파...'투표지 용지 부족' 사태 비판,Social
584,"만취 20대, 몰던 SUV로 시내버스 들이받아",Social
585,'심야 여성 DJ 시초' 임국희 아나운서 별세…향년 88세,Social
586,"어머니는 주검을, 60대 아들은 장기기증…‘나눔이 받는 것보다 복되더라’",Social
587,"""'포괄임금' 핑계 공짜노동 안돼""…노동장관, 직장인과 간담회",Social
588,투표용지 부족 이어 투표함 대치...현장 혼란 심화,Social
589,'진보 1번지' 울산 동구의 반전…국힘 구청장 나왔다,Social
590,"“우릴 총알받이로 쓰지 마”... 송파구 공무원, 선관위 저격",Social
591,“주는 게 더 복되다”…장기기증해 4명에 새 삶 선물한 60대,Social
592,'8표'와 '나이'가 가른 희비…경남 고성군의원 초접전 결과,Social
593,"'부정선거론' 모스 탄, 출국정지 집행정지 기각에 즉시 항고(종합)",Social
594,평생 의회와 함께했다…국내 첫 '10선 의원' 이재갑 당선인,Social
595,"“행정수도 완성하겠다”…세종시장, 조상호 당선",Social
596,"‘불륜 스캔들, 여성 폭행…’ 논란의 전 김제시의원 4선 성공",Social
597,9:8→10:6 ‘진보교육감’ 약진…현역프리미엄 여전,Social
598,"선관위 야산 화재 2차 현장감식…경찰 ""실화 등 가능성 조사""",Social
599,"통영·양산 ‘벼량끝 당선’…'44표차’, ‘2%p 차이’ 초접전 승부",Social
600,당선소감 냈던 후보 누르고 충주시장 당선인 124표차 막판 신승…충북 역대 최연소,Social
601,"""투표함 나가야 오세훈 확정"" 설득했지만…""재투표 해야"" 잠실7동, '개표 저지'",Social
602,"민주당 민경선, 고양시장 선거 압승…4년 만에 뒤집힌 민심",Social
603,민주 대 국힘 8대17→17대8…서울 구청장 권력지형 4년만에 뒤집혔다,Social
604,"대법, '재판소원 1호' 녹십자 사건 답변서 헌재에 내지 않기로",Social
605,지방선거 끝 '형소법 개정' 재시동…검찰 보완수사권 운명은,Social
606,'파란옷 입고 선거유세' 악플 견딘 아이돌...아빠 '강릉시장' 당선,Social
607,"'재선' 정근식, 서울교육청 '금의환향'...""화해·통합 서울교육 복원""",Social
608,쿠웨이트공항 또 드론 공격…인천공항공사 직원 피해 없어,Social
609,"""민주당 구하기 성공"" 이원택 승리에 한숨 돌린 전북도당",Social
610,"""개표 완료돼야 당선인 확정""…선관위 나섰지만 잠실 투표소 시위대 항의에 후퇴",Social
611,"단 1표가 당선 갈랐다…기호엽, 충남도의원 1선거구서 극적 승리",Social
612,“졌지만 잘 싸웠다”…충남 15개 시·군 중 10곳 국힘 승리,Social
613,"서울 자치구청장, 민주 17 vs 국힘 8…4년 만에 정반대로",Social
614,"'1억 공천 헌금' 강선우 보석 청구…""방어권 행사 지장""",Social
615,4년 만에 '진보 교육감 시대' 열려…16곳 중 10곳 휩쓸어,Social
616,“월드컵 4강 100배 감동”…이동석 충주시장 당선자 124표차 역전승,Social
617,단 1표차로 웃었다…‘무효→유효표’ 재검표 끝에 당선된 與기호엽,Social
618,"잠실7동에 묶인 2000표…“오세훈 당선에 끝 아냐, 부정선거 밝혀야”",Social
619,"전남서 선거사범 550명 적발, 경찰 수사 본격 나선다",Social
620,"종합특검, ‘관저 이전’ 이상민·‘반란’ 김용현 피의자 조사",Social
621,5곳이나 1000표 안팎 '초박빙 승부' 펼쳐진 전남광주 기초단체장,Social
622,"오세훈, 한강벨트서 대승…16년만에 대역전 드라마",Social
623,진양화학 왜 난리났다 했더니…오세훈 테마주 ‘요동’,Social
624,"종합특검, 김용현·이상민 前 장관 첫 피의자 조사",Social
625,막판 역전 드라마 쓴 나동연 양산시장 4선 고지,Social
626,"오세훈 ""시민들이 견제와 균형 대원칙 다시 확고히 세워""[영상]",Social
627,"‘대역전극’ 오세훈, 바로 업무 복귀 “다시 한 번 일할 기회 준 시민께 감사”",Social
628,한덕수 '내란 가담' 사건 상고심 배당…주심 오경미 대법관,Social
629,"""누군지 다 보이니 차라리 길바닥이 편해요""…성범죄·폭력에 노출된 서울역 노숙인들",Social
630,승리 선언한 오세훈 “국무회의 참석해 부동산 정책 방향 전환 건의”,Social
631,"[주니어전자]앤트로픽, 미토스 참여 기관 확대…삼성·SK·KISA 포함",Social
632,저축금액 두 배로 돌려주는 청년통장 참여자 모집,Social
633,"종합특검, 김용현·이상민 첫 소환 조사…윤석열은 6일 조사 예정",Social
634,헌정사 최초 5선 광역단체장…새 역사 쓴 '대역전' 오세훈,Social
635,"20년간 이웃 돌본 목회자, 장기기증으로 4명에 새 삶 선물",Social
636,"[2026 지선] 하중환 추경호 캠프 수석대변인 ""밤새 가슴 쓸어내렸지만…대구가 결국 보수의 불씨 살렸다""",Social
637,"라면·빵 이어 쌀과자까지…서울시, 3번째 서울형 먹거리 공개",Social
638,끝내 보수의 벽 못 넘은 김부겸…대구시장 '눈물의 분투',Social
639,"오세훈 ""바로 업무 복귀…삼성역 철근누락부터 챙길 것""",Social
640,"서울 지킨 오세훈…""시민의 삶 짓누르는 문제부터 해결하겠다""",Social
641,"""결국 오세훈이었다""…다 졌다던 선거서 만든 '대역전극'",Social
642,"서울선관위 사무처장, ‘용지 부족’ 잠실7동 투표소 찾아… “개표 안 돼 오세훈 당선 확정 못 해”",Social
643,"'경남과 사는 남자' 박완수 도지사, 접전 끝 연임 성공",Social
644,"유세 중인 시의원에 ‘물병’ 던져…선거사범 4천여명 단속, 8명 구속",Social
645,"경찰, ‘7명 사상’ 한화에어로스페이스 압수수색 [세상&]",Social
646,흑색선전에 공무원 개입까지... 제주 선거사범 수십명 줄줄이 덜미,Social
647,'탈당 무소속 출마' 조규일 진주시장·김윤철 합천군수 당선,Social
648,제주도의원 선거 또 한 번 ‘파란 물결’… 민주당 34석으로 압승,Social
649,김경대 용산구청장 당선인 “진짜 용산사람이 펼치는 용산 행정 보여드리겠다”,Social
650,4년 만에 통영시장 탈환한 민주당…시의회도 역대 최초 과반,Social
651,"'막판 역전' 오세훈 ""첫 업무는 GTX 철근누락""",Social
652,전주시의회 당선인 36명 확정…조국·진보·무소속 10명,Social
653,친구의 1300만원 금목걸이 탐났다…수면제 먹인 후 들고 튄 20대들,Social
654,"""상급지 친구 집서 월 50만원 생활, 염치 없나""...동창회서 쏟아진 지적",Social
655,"강삼영 '16개 시·군 석권'…""안정론·심판론 통했다""",Social
656,"'李대통령 소년원설' 모스 탄 출국정지 유지…法 ""공공복리 우선""(종합)",Social
657,"'원팀' 앞세운 민주당, 여수 선거서 5석 제외 '싹슬이' 완승",Social
658,‘티빙’도 털렸다…아이디·이름·생년월일 유출 “비밀번호 바꿔야”,Social
659,부산 현직 구청장들 줄줄이 수성…'3선 구청장'도 다수,Social
660,"경찰, '김수현 허위사실 유포 혐의' 김세의 가로세로연구소 대표 구속 송치",Social
661,초대 전남광주통합특별시의회 의원 91명 확정…민주독점,Social
662,‘투표용지 대란’ 잠실7동 제2투표소 밤새 시끌···“잠 못 잤다” “나라 지키는 거잖아” 충돌도[현장],Social
663,"[에듀플러스]수도권 교육감 선거, 진보 진영 3곳 모두 차지",Social
664,제주도의원 민주당 '압승'…의석 75% 차지 독주 체제,Social
665,버젓이 나도는 의료용 마약류…펜 대신 약을 쥐는 아이들 [넘버링+],Social
666,"법원, 이재명 대통령 '명예훼손' 모스 탄 출국정지 처분 유지",Social
667,"‘연매출 100억’ 유병재 회사, ‘경력직급’ 인턴 채용 논란…해명 들어보니",Social
668,"아들 상견례 앞두고…60대 목회자, 4명에게 새 삶 주고 떠나",Social
669,경남 국힘 '도지사' 수성…기초단체장 민주4·국힘10·무소속4,Social
670,"'부정선거 음모론' 모스 탄 교수, 출국정지 유지",Social
671,"복지부 제약바이오 공무원, 관련 주식 신규투자 안 된다",Social
672,"'이재명 대통령 범죄 연루설' 주장한 모스 탄, 한국 못 빠져나간다",Social
673,오세훈 “업무 복귀해 삼성역 철근 누락부터 챙길 것”,Social
674,"대법원, 한덕수 내란 사건 상고심 배당…주심 오경미 대법관",Social
675,투표용지 부족 '초유의 사태' 여파...선거 관리 부실 도마,Social
676,진보교육감이 수도권 장악…“수월성 보다 평준화 교육에 힘 실린다”,Social
677,"엇갈린 PK 단체장 지형, 부산경남 행정통합 '가시밭길' 예고",Social
678,"'더 견고해진 야대여소' 영동군의회, 3대 5→2대 6 재편",Social
679,[이색 당선자]안동서 국내 첫 10선 기초의원 탄생…무소속 이재갑 당선인,Social
680,"[결혼과 이혼] ""내 엄마도 아닌데 왜?""⋯시모 생일상 차리라는 남편에 아내 '분통'",Social
681,"[당선인 인터뷰] 출구조사 뒤집은 박완수 ""말보다 실천, 계획보다 성과""",Social
682,"종합특검, 김용현·이상민 첫 조사…""불법 수사 맞서 싸울 것""",Social
683,광주 고교 인근 교차로서 음주운전 20대가 15명 탄 시내버스 ‘쾅’…입건,Social
684,교육감 당선인 평균 나이 63세…젊은피 왜 안 보일까,Social
685,오세훈 “4년 더 뛸 기회 준 시민께 감사…GTX 철근 누락부터 살펴볼 것”,Social
686,[단독] 선거법 위반 1500건 넘었는데…검찰청 폐지와 '정면충돌',Social
687,교육감선거서 진보후보 10곳 승리…4년만에 진보교육감시대 부활(종합3보),Social
688,"20년 차 선배 글에 ""징징대지 말고 퇴사해""⋯익명 댓글 딱 걸린 '신입사원'",Social
689,뒤바뀐 인천 기초권력…민주 승리 지역 4년 만에 2곳→8곳,Social
690,"진보당 ""30년간 대형마트 하나뿐인 전남광주, 경쟁 되살리려 했지만…""",Social
691,"젠슨 황, 7일 잠실 마운드 오른다… 두산-키움전 시구, 박정원 구단주가 시타",Social
692,“국힘 재입당 추호도 없다”… 무소속 울릉군수 당선인의 불편한 심기,Social
693,“같은 인천인데 왜 더 내나”…‘버스요금 역차별’에 영종주민 분통,Social
694,"권순기 경남교육감 후보, 하루 꼬박 초접전 끝 '당선' … 12년 만의 보수 성향 교육감",Social
695,"월드컵 응원 영상 '욱일기' 논란에…해외 유튜버 ""평범한 깃발인 줄"" 사과",Social
696,‘부정선거 감시’ 입국 모스탄 발 묶였다…‘李대통령 명예훼손’ 출국정지 유지 [세상&],Social
697,"강기윤, 대역전극으로 창원시장 당선… ""일자리 1등도시 만들겠다""",Social
698,"""깜이 되네, 안 되네"" 했던 이원택 당선인…민주 경합 7곳 중 '격차 1위' 달렸다",Social
699,"'李대통령 명예훼손' 모스탄 출국정지 유지…법원, 집행정지 신청 기각",Social
700,잠실7동 투표소 대치 계속…투표함 이송은 아직,Social
701,반대로 바뀐 구청장 권력지형…17대8에서 8대17로,Social
702,"'1억 공천헌금' 강선우, 보석 청구…""방어권 행사 지장 있어""",Social
703,"경찰, 6·3선거사범 4천여명 적발… 허위·가짜뉴스 유포 32.5%",Social
704,"'계엄 메시지 전달 의혹' 홍장원, 11일 2차 조사",Social
705,"역전 드라마 쓴 서울시장 선거…오세훈 ""저의 승리 아니다, 변화로 보답""",Social
706,'용지 부족' 잠실7동 투표소 대치 12시간째…2000여표 묶여,Social
707,경찰 '7명 사상' 한화에어로 대전사업장·서울 본사 등 압수수색,Social
708,"후보 때리고, 조작영상으로 선거운동…선거사범 4191명 단속",Social
709,"오세훈, 한강벨트 석권으로 16년만에 대역전 드라마",Social
710,'이 대통령 명예훼손' 모스탄 출국금지 유지,Social
711,오세훈표 메가프로젝트 본궤도…용산·잠실·상암·세운 개발 본격화,Social
712,'5명 사망' 한화에어로 대전 사업장·본사 압수수색(종합),Social
713,"노동부·경찰, 한화에어로 압수수색…폭발사고 수사 본격화",Social
714,민주당 의석이었던 충남 2곳…국민의힘 1곳 차지,Social
715,연세대 학생들 “투표용지 부족?…민주주의 근간 흔들렸다” 강력 규탄,Social
716,[지방선거]조국당 이복남 ‘최다선 5선’ 순천시의장 탐낼 만,Social
717,'경북선 보수 깃발 꽂으면 승리' 공식 흔들…무소속 4명 당선,Social
718,"주낙영 경주시장 당선자, “경주 최초 3선 시장, 더 큰 책임으로 보답하겠다”",Social
719,지방선거 선거사범 4191명 단속…흑색선전 33% 최다,Social
720,"경찰·노동부, 5명 숨진 한화에어로 대전공장·본사 압수수색",Social
721,‘7명 사상’ 한화에어로스페이스 본사·대전사업장 압수수색,Social
722,"더불어민주당 박찬대 52.8% 득표, 인천시장 당선…유정복 현 시장 연임 실패",Social
723,최대호 안양시장·김성제 의왕시장 4선 고지…경기도 최초,Social
724,"민소매 입고 출근한 남자 직원...""기지개 켰는데 겨털 무성"" 고충 토로",Social
725,[6·3 지선] 경남 기초단체장 성적표는…국힘 10·민주 4·무소속 4,Social
726,"조선일보 ""선관위, 투표용지 부족 고의로 숨겼나""",Social
727,‘폭발사고’ 한화에어로 본사·대전사업장 압수수색,Social
728,"경찰·노동청, '7명 사상' 한화에어로 대전공장 등 3곳 압수수색",Social
729,"울산 민심은 행정균형… 시장은 여권, 구청장은 야권",Social
730,권익현 부안군수 사상 첫 3선 도전 성공…지역구 군의원도 모두 민주당 소속,Social
731,오세훈 정원오 역전 순간 '수십억 원 순식간에 잃었다'…서울시장 베팅한 외국인들 '비명',Social
732,"'첫 5선 시장' 오세훈의 서울, 31만가구 짓고 '세계 3위 도시' 간다",Social
733,"종합특검, 김용현·이상민 첫 소환…'반란·관저 이전' 피의자 조사",Social
734,"종합특검, 김용현·이상민 전 장관 첫 소환…金 ""중복 불법 수사""",Social
735,"법원, '부정선거론' 모스 탄 출국정지 유지… ""공공복리 우선해야""",Social
736,오세훈 막판 대역전극…사상 첫 '5선 서울시장' 신화 썼다,Social
737,서울 구청장 민주 17·국힘 8…한강벨트 10곳 중 6곳은 국민의힘,Social
738,"""벤틀리보다 삼성 탑차가 무섭다""…온라인 달군 '194억 반도체 차 사고' 진실은",Social
739,"5선 서울시장 탄생… 오세훈 ""상식의 승리, 역량 쏟아붓겠다""(상보)",Social
740,6월 모의평가에 몰린 졸업생…9만7000명 응시해 역대 최다,Social
741,'친노' 정영두 당선…민주당 김해시장 4년 만에 탈환,Social
742,"'3선 성공' 이철우 경북지사 당선인 ""더 큰 경북·더 강한 대한민국 만들겠다""",Social
743,“왜 계엄 했는데”…김계리 등 윤석열 변호인단 ‘부정선거’ 주장,Social
744,"목포시의회에 진보당·혁신당 첫 진출…""다당제 구도로""",Social
745,충북 기초의원 당선인 명단,Social
746,"사상 초유 투표용지 부족…법조계 “선거무효소송, 표차가 관건”",Social
747,"“겸허히 수용” 국힘, ‘재선거’ 급선회…“결과수용 불가”",Social
748,점인 줄 알았는데 암?…빠르게 악화되는 '이 질환',Social
749,'10명 당선' 진보교육감 시대 재개…서울 정근식·경기 안민석(종합2보),Social
750,"'보수 텃밭' 강원, 민주당 우세지역으로 급변",Social
751,한강버스·감사의정원 동력 얻었다…오세훈표 '매력서울' 시즌2는?,Social
752,"막판에 역전 허용한 정원오…""기대에 보답 못해 송구""",Social
753,"종합특검, '관저 이전' 이상민·'반란' 김용현 피의자 조사",Social
754,"'민주 19 vs 국힘 12'…경기 기초단체장, 예상된 '압승'은 없었다",Social
755,모스 탄 ‘출국정지 처분 멈춰달라’…법원 기각 “공공복리 영향”,Social
756,초유의 ‘투표용지 부족’ 사태…선관위·송파 투표소 밤샘 시위,Social
757,"법원, '이재명 대통령 명예훼손 혐의' 모스탄 출국금지 유지",Social
758,"검은 머리는 원형 탈모, 빨간 머리는 피부암 잘 걸린다",Social
759,"'최연소'에서 '최초 5선'까지…'미스터 서울' 오세훈, 정치사 새로 썼다",Social
760,"정원오 승복 선언…""모든 것이 제 탓, 오세훈에 축하""",Social
761,마트 화장실 유아용 의자에 뾰족 나사못…“큰 사고 날 뻔”,Social
762,[속보] '5명 사망' 폭발사고 한화에어로스페이스 압수수색,Social
763,"강원도의회 보수 우위…국민의힘 30석, 민주당 24석",Social
764,"[속보]‘이 대통령 소년범’ 모스 탄 출국정지 유지···법원, 집행정지 신청 기각",Social
765,'李대통령 소년원설' 모스 탄 출국정지 유지…집행정지 기각,Social
766,"'李 대통령 범죄 연루설' 주장 모스 탄, 출국금지 유지",Social
767,"전주시의원 당선인 36명 확정, 민주당 26석 '압도적 과반'",Social
768,[기획]선거는 끝났지만…전남·광주 가야할 길 '산넘어 산',Social
769,"[속보]法, '이 대통령 소년범설' 모스탄, 출국정지 집행정지 기각",Social
770,‘李대통령 명예훼손 혐의’ 모스 탄 출국정지 유지… “공공복리 우선”,Social
771,[속보] ‘李대통령 범죄 연루설’ 모스탄 출국정지 집행정지신청 기각,Social
772,안산시 첫 연임 시장 탄생…국힘 이민근 ‘역전승’,Social
773,"부산 기초단체장 민주 7곳, 국힘 9곳 당선…정치 지형에 ‘균열’",Social
774,임신·출산자도 변호사시험 제한…‘오탈제’ 가까스로 합헌,Social
775,대통령 꿈꾸시나요...51조 쥐락펴락 '소통령' 서울시장 자리는,Social
776,'李대통령 범죄 연루설' 모스탄 출국정지 유지... 집행정지신청 기각,Social
777,울산시장 민주당 김상욱·울산교육감 진보 조용식 '당선',Social
778,'교사·교수 35년' 천호성 전북교육감 당선인…삼수끝에 수장으로,Social
779,"대법, 헌재에 '재판소원 1호' 녹십자 사건 답변서 제출 않기로",Social
780,"[속보] 법원, 모스 탄 출국금지 집행정지 기각…""공공복리 우선""",Social
781,"이원택, 역대 최저 격차로 전북도지사 당선…김관영과 9.44%p 차",Social
782,[속보] 경찰 ‘7명 사상’ 한화에어로 대전사업장 압수수색,Social
783,"오세훈, 막판 정원오에 '역전승'...사상 첫 5선 '미스터 서울'",Social
784,이재명 정부에 힘 실은 전남·광주…민주당 압승(종합),Social
785,[2026 지선] 6·3 선거 '대전지역 지방권력' 4년만에 대재편,Social
786,"'김수현 명예훼손' 혐의 김세의, 구속 상태로 검찰에 넘겨져",Social
787,"반도체 벨트 싹쓸이 저지, 이상일 용인시장 “반도체 흔들림 없이 추진”",Social
788,[주니어전자]IT 핫픽 - AI 때문에 전기 부족해진다? 미국이 꺼낸 새로운 해법,Social
789,‘국회의원 출신 기초의원’ 손혜원 당선자…무소속으로 목포시의원 당선,Social
790,"'처음처럼'·'참이슬' 만든 손혜원, 국회의원 거쳐 시의원으로",Social
791,아들 상견례 앞두고 뇌사…4명 살리고 떠난 60대,Social
792,"폐동맥고혈압, 40대 여성 주의보! 조기 진단과 치료가 생존율 좌우한다",Social
793,경북 동해안 5개 시·군 기초의원 국힘 67%·민주당 23%,Social
794,"""끝날 때까지 끝난 게 아니다""…오세훈 역전승, 여기서 갈렸다",Social
795,"""요즘 제일 무서운 차""…사고 났더니 보험금이 194억",Social
796,'개표 저지' 2000표 묶였다…잠실7동 투표소 밤샘 대치,Social
797,"종합특검, '관저 이전' 이상민·'반란' 김용현 前장관 피의자 조사",Social
798,"출구조사 '환호성'에서 낙선으로…김경수 ""균형발전 꿈 계속""",Social
799,"[2026 지선]한동훈, 부산 북갑서 무소속 당선…부산 보수 지형도 변화 예상",Social
800,"조국혁신당 김태성, 신안군수 당선…""함께하는 군수 되겠다""",Social
801,9대 8→10대 6 …진보 교육감 우위 커졌다,Social
802,언니 푸바오 떠난 빈자리 채워주더니… 루이바오·후이바오도 '이별 준비',Social
803,민선9기 추경호號 대구시정 방향은? TK신공항 건설 속도 낼 수 있을까?,Social
804,"오석진, 대전시교육감 '초박빙' 끝 당선 확정",Social
805,태백 '보수 텃밭' 재확인… 도의원·시의원도 국민의힘 석권,Social
806,단일화 갈등·혐오경쟁·이념공세…과제 남긴 서울교육감 8파전,Social
807,"""투표 날인데..."" 수학여행 떠난 순천 중학교 '논란'",Social
808,"푸바오 이어 루이·후이도… 한국서 태어난 첫 쌍둥이 판다, 중국행 준비",Social
809,'투표지 부족' 선관위 앞 밤샘 시위...차량 출입도 막아,Social
810,"셀트리온, 1000억 규모 자사주 소각 최종 반영…“기업가치 제고 가속”",Social
811,부울경 광역화 로드맵 안갯속…민주·민주·국힘 '엇박자' 출발,Social
812,"민주당, 전북 시·군 단체장 석권…교육감은 천호성 당선",Social
813,"대법 ""5·18 가족 정신적 손배권 유효 소멸 안돼""... 파기환송",Social
814,"신상진, 李대통령 정치 고향서 재선 성공...정치적 위상 급부상",Social
815,"잠실 투표소 대치 지속...""2천 표 개표 차질""",Social
816,"당근에 올라온 ""천연 곰 가죽 팔아요""…""다시 보니 개 가죽"" 충격",Social
817,야간에 수로 빠져 차량 전복…탑승자 3명 무사 구조,Social
818,"""안 걷는다고 회초리로 머리 내리쳐""…광주서 동물 학대 수사",Social
819,'당선 인터뷰'도 했는데 124표차로 뒤집혔다...충주 '40세 시장' 탄생,Social
820,"[6·3 지선] 대역전극으로 5선 '금자탑'…오세훈, 대선가도 달릴까",Social
821,전·현직 경남도지사 빅매치 … 막판 접전 끝 승자는 '박완수',Social
822,7월 신설 인천 자치구 4곳 중 민주 3곳·국힘 1곳 승리,Social
823,"국민의힘 조주홍, 영덕군수 당선...'극적 단일화'가 가른 승부수",Social
824,[6·3 지방선거] 서울시장 오세훈 ‘대역전극’…경남 박빙 승부선 박완수 승리,Social
825,성남 개표소서 안산 투표지 섞여 나와…선관위 “기권 처리”,Social
826,"수상한 '130만원 곰 가죽'의 정체…""아무리 봐도 개 가죽"" 의혹 확산",Social
827,"셀트리온, 자사주 소각 완료…""연내 2조 주주환원""",Social
828,당 따라 찍던 충북도의원 이번엔 어땠을까…초박빙 승부,Social
829,"연매출 100억이라던 유병재 회사, 인턴 채용 공고 '이게 맞아?'",Social
830,아들 상견례 앞두고 뇌사…4명 살리고 떠난 60대 아버지,Social
831,반전에 반전 거듭한 경남지사 개표전…아침 끝에 웃은 '박완수',Social
832,"[2026 지선] '최종 50.52%' 전재수, 초접전 끝 당선…역대 두 번째 민주당 부산시장 탄생",Social
833,"교통사고 위장해 아내 살해…보험금 내연녀와 탕진한 50대 남편, 징역 40년",Social
834,손혜원 “큰 정치는 골목 눈물 못 닦아”…국회의원 출신이 기초의원 됐다,Social
835,첫 통합시 출범 앞둔 광주전남 지방선거…민주당 '압승' 무소속·혁신당 '약진',Social
836,"전재수, 협치로 성장판 다시 연다…8년만에 부산 탈환",Social
837,"초유의 투표용지 부족 사태…JK 김동욱, 선관위 맹공 ""특검받아야""",Social
838,"盧 고향서 승리, 김해시장은 민주 정영두…4년만에 탈환",Social
839,"“투표권 침해당했다” 잠실 주민들, 투표소 앞 이틀째 농성",Social
840,커피 프랜차이즈 속속 가격 인상...도미노 인상 가능성도,Social
